dEven,candidate_event_count,has_candidate_event
2018-02-05,104,True
2018-02-06,107,True
2018-02-07,108,True
2018-02-10,108,True
2018-02-12,115,True
2018-02-13,97,True
2018-02-14,113,True
2018-02-17,113,True
2018-02-18,121,True
2018-02-19,109,True
2018-02-21,114,True
2018-02-24,116,True
2018-02-25,108,True
2018-02-26,130,True
2018-02-27,114,True
2018-02-28,127,True
2018-03-03,129,True
2018-03-04,124,True
2018-03-05,133,True
2018-03-06,132,True
2018-03-07,132,True
2018-03-10,140,True
2018-03-11,137,True
2018-03-12,123,True
2018-03-13,122,True
2018-03-14,127,True
2018-03-17,116,True
2018-03-18,125,True
2018-03-19,122,True
2018-03-25,126,True
2018-03-26,145,True
2018-03-27,146,True
2018-03-28,152,True
2018-04-03,142,True
2018-04-04,148,True
2018-04-07,150,True
2018-04-08,130,True
2018-04-09,122,True
2018-04-10,121,True
2018-04-11,118,True
2018-04-15,117,True
2018-04-16,106,True
2018-04-17,122,True
2018-04-18,117,True
2018-04-21,111,True
2018-04-22,106,True
2018-04-23,106,True
2018-04-24,103,True
2018-04-25,105,True
2018-04-28,109,True
2018-04-29,90,True
2018-04-30,92,True
2018-05-01,83,True
2018-05-05,96,True
2018-05-06,90,True
2018-05-07,98,True
2018-05-08,96,True
2018-05-09,109,True
2018-05-12,115,True
2018-05-13,113,True
2018-05-14,113,True
2018-05-15,110,True
2018-05-16,104,True
2018-05-19,98,True
2018-05-20,93,True
2018-05-21,105,True
2018-05-22,103,True
2018-05-23,117,True
2018-05-26,120,True
2018-05-27,122,True
2018-05-28,137,True
2018-05-29,131,True
2018-05-30,135,True
2018-06-02,148,True
2018-06-03,148,True
2018-06-09,144,True
2018-06-10,146,True
2018-06-11,140,True
2018-06-12,124,True
2018-06-13,99,True
2018-06-17,77,True
2018-06-18,92,True
2018-06-19,90,True
2018-06-20,79,True
2018-06-23,69,True
2018-06-24,64,True
2018-06-25,65,True
2018-06-26,69,True
2018-06-27,77,True
2018-06-30,74,True
2018-07-01,87,True
2018-07-02,78,True
2018-07-03,78,True
2018-07-04,83,True
2018-07-07,83,True
2018-07-08,91,True
2018-07-10,117,True
2018-07-11,127,True
2018-07-14,106,True
2018-07-15,99,True
2018-07-16,102,True
2018-07-17,103,True
2018-07-18,102,True
2018-07-21,80,True
2018-07-22,84,True
2018-07-23,103,True
2018-07-24,112,True
2018-07-25,110,True
2018-07-28,107,True
2018-07-29,117,True
2018-07-30,122,True
2018-07-31,81,True
2018-08-01,105,True
2018-08-04,114,True
2018-08-05,104,True
2018-08-06,101,True
2018-08-07,99,True
2018-08-08,116,True
2018-08-11,105,True
2018-08-12,108,True
2018-08-13,126,True
2018-08-14,110,True
2018-08-15,117,True
2018-08-18,107,True
2018-08-19,106,True
2018-08-20,94,True
2018-08-21,79,True
2018-08-25,67,True
2018-08-26,46,True
2018-08-27,41,True
2018-08-28,45,True
2018-08-29,43,True
2018-09-01,43,True
2018-09-02,49,True
2018-09-03,46,True
2018-09-04,38,True
2018-09-05,34,True
2018-09-08,22,True
2018-09-09,16,True
2018-09-10,11,True
2018-09-11,11,True
2018-09-12,6,True
2018-09-15,4,True
2018-09-16,5,True
2018-09-17,4,True
2018-09-18,2,True
2018-09-22,1,True
2018-09-23,1,True
2018-09-24,0,False
2018-09-25,1,True
2018-09-26,1,True
2018-09-29,1,True
2018-09-30,0,False
2018-10-01,1,True
2018-10-02,2,True
2018-10-03,2,True
2018-10-06,3,True
2018-10-07,2,True
2018-10-08,3,True
2018-10-09,4,True
2018-10-10,6,True
2018-10-13,9,True
2018-10-14,13,True
2018-10-15,11,True
2018-10-16,6,True
2018-10-17,5,True
2018-10-20,5,True
2018-10-21,7,True
2018-10-22,7,True
2018-10-23,19,True
2018-10-24,24,True
2018-10-27,32,True
2018-10-28,19,True
2018-10-29,14,True
2018-10-31,16,True
2018-11-03,24,True
2018-11-04,34,True
2018-11-05,23,True
2018-11-06,62,True
2018-11-10,87,True
2018-11-11,87,True
2018-11-12,78,True
2018-11-13,85,True
2018-11-14,69,True
2018-11-17,89,True
2018-11-18,91,True
2018-11-19,95,True
2018-11-20,111,True
2018-11-21,135,True
2018-11-24,131,True
2018-11-26,148,True
2018-11-27,136,True
2018-11-28,146,True
2018-12-01,159,True
2018-12-02,148,True
2018-12-03,150,True
2018-12-04,140,True
2018-12-05,126,True
2018-12-08,111,True
2018-12-09,113,True
2018-12-10,116,True
2018-12-11,66,True
2018-12-12,111,True
2018-12-15,135,True
2018-12-16,136,True
2018-12-17,133,True
2018-12-18,141,True
2018-12-19,139,True
2018-12-22,136,True
2018-12-23,133,True
2018-12-24,165,True
2018-12-25,159,True
2018-12-26,149,True
2018-12-29,158,True
2018-12-30,144,True
2018-12-31,122,True
2019-01-01,110,True
2019-01-02,109,True
2019-01-05,101,True
2019-01-06,94,True
2019-01-07,100,True
2019-01-08,97,True
2019-01-09,88,True
2019-01-12,92,True
2019-01-13,94,True
2019-01-14,106,True
2019-01-15,100,True
2019-01-16,104,True
2019-01-19,92,True
2019-01-20,103,True
2019-01-21,133,True
2019-01-22,108,True
2019-01-23,97,True
2019-01-26,97,True
2019-01-27,110,True
2019-01-28,102,True
2019-01-29,104,True
2019-01-30,105,True
2019-02-02,109,True
2019-02-03,110,True
2019-02-04,114,True
2019-02-05,112,True
2019-02-06,104,True
2019-02-10,101,True
2019-02-12,98,True
2019-02-13,108,True
2019-02-16,113,True
2019-02-17,118,True
2019-02-18,118,True
2019-02-19,116,True
2019-02-20,105,True
2019-02-23,109,True
2019-02-24,100,True
2019-02-25,110,True
2019-02-26,107,True
2019-02-27,103,True
2019-03-02,110,True
2019-03-03,103,True
2019-03-04,103,True
2019-03-05,106,True
2019-03-06,112,True
2019-03-09,119,True
2019-03-10,103,True
2019-03-11,110,True
2019-03-12,107,True
2019-03-13,104,True
2019-03-16,92,True
2019-03-17,82,True
2019-03-18,81,True
2019-03-19,62,True
2019-03-25,65,True
2019-03-26,55,True
2019-03-27,58,True
2019-03-30,41,True
2019-03-31,45,True
2019-04-06,37,True
2019-04-07,29,True
2019-04-08,34,True
2019-04-09,35,True
2019-04-10,23,True
2019-04-13,20,True
